"","State 1","State 2","State 3","State 4","State 5","State 6"
"State 1",-0.543684,0.542255,0,0,0,0.001429
"State 2",0,-0.18144,0.166522,0,0,0.014918
"State 3",0,0,-0.213388,0.192677,0,0.020711
"State 4",0,0,0,-0.30508,0.288523,0.016558
"State 5",0,0,0,0,-0.074612,0.074612
"State 6",0,0,0,0,0,0
