"","State 1","State 2","State 3","State 4","State 5","State 6"
"State 1",-0.389639,0.379694,0,0,0,0.009945
"State 2",0,-0.187621,0.173327,0,0,0.014294
"State 3",0,0,-0.258614,0.238562,0,0.020052
"State 4",0,0,0,-1.021132,0.984528,0.036604
"State 5",0,0,0,0,-0.094237,0.094237
"State 6",0,0,0,0,0,0
