"repeat_idx","fold","a_1->2","HR_1->2_sex","beta_1->2_sex","beta_lower_1->2_sex","beta_upper_1->2_sex","HR_1->2_htn_baseline","beta_1->2_htn_baseline","beta_lower_1->2_htn_baseline","beta_upper_1->2_htn_baseline","a_2->3","HR_2->3_sex","beta_2->3_sex","beta_lower_2->3_sex","beta_upper_2->3_sex","HR_2->3_htn_baseline","beta_2->3_htn_baseline","beta_lower_2->3_htn_baseline","beta_upper_2->3_htn_baseline","a_3->4","HR_3->4_sex","beta_3->4_sex","beta_lower_3->4_sex","beta_upper_3->4_sex","HR_3->4_htn_baseline","beta_3->4_htn_baseline","beta_lower_3->4_htn_baseline","beta_upper_3->4_htn_baseline","a_4->5","HR_4->5_sex","beta_4->5_sex","beta_lower_4->5_sex","beta_upper_4->5_sex","HR_4->5_htn_baseline","beta_4->5_htn_baseline","beta_lower_4->5_htn_baseline","beta_upper_4->5_htn_baseline","a_1->6","HR_1->6_sex","beta_1->6_sex","beta_lower_1->6_sex","beta_upper_1->6_sex","HR_1->6_htn_baseline","beta_1->6_htn_baseline","beta_lower_1->6_htn_baseline","beta_upper_1->6_htn_baseline","a_2->6","HR_2->6_sex","beta_2->6_sex","beta_lower_2->6_sex","beta_upper_2->6_sex","HR_2->6_htn_baseline","beta_2->6_htn_baseline","beta_lower_2->6_htn_baseline","beta_upper_2->6_htn_baseline","a_3->6","HR_3->6_sex","beta_3->6_sex","beta_lower_3->6_sex","beta_upper_3->6_sex","HR_3->6_htn_baseline","beta_3->6_htn_baseline","beta_lower_3->6_htn_baseline","beta_upper_3->6_htn_baseline","a_4->6","HR_4->6_sex","beta_4->6_sex","beta_lower_4->6_sex","beta_upper_4->6_sex","HR_4->6_htn_baseline","beta_4->6_htn_baseline","beta_lower_4->6_htn_baseline","beta_upper_4->6_htn_baseline","a_5->6","HR_5->6_sex","beta_5->6_sex","beta_lower_5->6_sex","beta_upper_5->6_sex","HR_5->6_htn_baseline","beta_5->6_htn_baseline","beta_lower_5->6_htn_baseline","beta_upper_5->6_htn_baseline"
"1","1",0.542547394571331,0.994229141398125,-0.00578757434686552,-0.0620767282276566,0.0505015795339255,0.663007372117724,-0.410969169525177,-0.490491104907123,-0.33144723414323,0.16783119687101,1.1103481584352,0.104673622392331,0.0562809640544567,0.153066280730205,0.974386815953678,-0.0259469125432485,-0.0935779404579298,0.0416841153714328,0.195408754684371,1.26410003775049,0.234360436382909,0.186917557826563,0.281803314939254,1.06419628993829,0.0622198569292644,-0.0078052142375598,0.132244928096089,0.299919782971204,1.15612268786918,0.145071895993369,0.0986683703521147,0.191475421634623,3.67435267526829,1.3013769743657,1.23153590719995,1.37121804153145,0.00196727650420336,1.29299639199549,0.256962309372439,-0.0743354654628546,0.588260084207733,5.61111950614344,1.72475025508835,0.476729142326794,2.97277136784991,0.0152026111440373,1.30511821639117,0.266293623944802,0.0929488732919619,0.439638374597642,0.785212811118355,-0.241800500973814,-0.462619318890751,-0.0209816830568785,0.0197844064789575,1.42345499812894,0.353087013698439,0.185874441824119,0.520299585572759,0.814703982594116,-0.204930443259525,-0.426286860421628,0.0164259739025782,0.0168227628389232,1.75605512759984,0.563069888569717,0.285482834200996,0.840656942938439,1.58239667814058,0.458940582630179,0.167402271473637,0.75047889378672,0.0716769389520532,1.27184752012598,0.240470583617661,0.173104414866891,0.307836752368431,1.14880682529374,0.138723860531765,0.038945730823591,0.238501990239938
"1","2",0.548341469542789,1.01203238337829,0.0119605697389713,-0.0443785819010469,0.0682997213789896,0.641058527429474,-0.44463451978741,-0.524538971113031,-0.364730068461788,0.161359568461681,1.1463545795866,0.136586976707326,0.0876807708310339,0.185493182583618,0.978412397274896,-0.0218240237216495,-0.0897932273631934,0.0461451799198942,0.191077353167532,1.2579774170516,0.229505206647801,0.181799248674749,0.277211164620854,1.09937217726556,0.0947392689253205,0.0246409764857178,0.164837561364923,0.300586220937294,1.08163842542315,0.0784769521392228,0.0318113404143519,0.125142563864094,3.70719953969983,1.31027675053213,1.23985719480495,1.38069630625932,0.00100261005734832,1.54311203832983,0.433801181457778,0.105909956662926,0.761692406252629,10.6281742555336,2.36350842365453,0.72531010534476,4.00170674196431,0.0158043143912827,1.19191519582674,0.175561421671617,0.00480398843339536,0.346318854909839,0.804482858269956,-0.217555620085645,-0.438163487026474,0.00305224685518338,0.0199789619886536,1.42731281178387,0.35579352385086,0.184810495339146,0.526776552362574,0.778052678070886,-0.250961047493255,-0.469591861606218,-0.0323302333802923,0.0175040738035295,1.65581090950909,0.504290864364401,0.240328138858259,0.768253589870543,1.72542911118251,0.545475779653461,0.262996006479561,0.82795555282736,0.0757858989911229,1.24530040115101,0.219376786876938,0.152364734411539,0.286388839342336,1.10572041511051,0.100497081912556,0.00189538155409285,0.19909878227102
"1","3",0.538286304302232,1.01367962644774,0.0135869049974213,-0.043175558841028,0.0703493688358704,0.665868789448898,-0.406662640690819,-0.486816020920077,-0.326509260461561,0.165501520049875,1.10439020524837,0.0992933321902495,0.0507655579656632,0.147821106414836,0.986218824051373,-0.0138770179159768,-0.0813626355931809,0.0536085997612273,0.190336947581901,1.26292674620251,0.233431841846639,0.185992579524313,0.280871104168966,1.10386169784915,0.0988146663201371,0.0281758908188931,0.169453441821381,0.268605038029085,1.22723186434153,0.204761116369984,0.158528860348448,0.250993372391519,3.95656070859579,1.3753751399645,1.30463509926812,1.44611518066089,0.00123995235262224,1.26183757043537,0.232569047781048,-0.0923595864216872,0.557497681983782,9.48524949944374,2.24973790767399,0.497802131935603,4.00167368341238,0.0156026417238937,1.21043676231776,0.190981255071237,0.0144810743928139,0.36748143574966,0.755545813361655,-0.28031485931745,-0.502237190495435,-0.0583925281394656,0.0216320023605874,1.39053124618352,0.329685865624969,0.160243023376547,0.499128707873391,0.720863426345811,-0.327305582183855,-0.541905394330566,-0.112705770037144,0.0154068688141526,1.9272448664663,0.656091452696301,0.385705791454651,0.926477113937951,1.74365717786232,0.555984733837264,0.271515282239978,0.84045418543455,0.0776197796794997,1.20777591605975,0.188780582354842,0.122438799029008,0.255122365680676,1.0983682763794,0.0938256933897583,-0.00528579209694445,0.192937178876461
"1","4",0.547911956844547,1.02254605067175,0.022295645252453,-0.0338857387638201,0.0784770292687261,0.652350164553045,-0.42717379902385,-0.508231662722486,-0.346115935325213,0.17235218365606,1.11756661519955,0.111153656645748,0.0625130267399676,0.159794286551529,0.926733583879111,-0.0760891507535991,-0.1435321572927,-0.00864614421449778,0.200156693341025,1.23287092409542,0.209345534270474,0.161808501845028,0.256882566695919,1.06088241118524,0.0591010252008162,-0.0106573301821845,0.128859380583817,0.290636841029163,1.13217764191417,0.124142894955174,0.0777014217610387,0.17058436814931,3.6779133741678,1.30234557347622,1.23249993023825,1.37219121671419,0.00134605017077512,1.43637503012229,0.36212259956671,0.025055849879969,0.69918934925345,7.64445288791851,2.03398027212669,0.497571985532974,3.57038855872041,0.0138599485055717,1.26177466287832,0.232519192612145,0.0597920830225138,0.405246302201776,0.889203095779576,-0.11742961536467,-0.35123859424969,0.11637936352035,0.0216431544672272,1.50110536784349,0.406201748617573,0.234834775462797,0.57756872177235,0.687005006876069,-0.375413698757132,-0.586949251446505,-0.163878146067759,0.0161511584603168,1.82680321864456,0.60256756423024,0.332917525242124,0.872217603218356,1.69074564872293,0.525169643891563,0.243265539394649,0.807073748388476,0.0723434318545387,1.21380065570199,0.193756474625428,0.127409136335819,0.260103812915037,1.18583098415645,0.17044378127718,0.0700941445340266,0.270793418020334
"1","5",0.53503454297869,1.01497090613429,0.014859948175825,-0.0420487736270792,0.071768669978729,0.663457591971706,-0.410290342894306,-0.49057654613381,-0.330004139654802,0.16581139560602,1.12712867206357,0.119673400735316,0.0711948380982908,0.168151963372341,0.968997303564675,-0.0314934497942362,-0.0992011725800359,0.0362142729915636,0.186520286827931,1.25424421809835,0.226533174523761,0.178973226963485,0.274093122084037,1.13721283302469,0.128580385487181,0.057986240318949,0.199174530655413,0.28455453295915,1.12124579478312,0.114440383911702,0.0679642207059573,0.160916547117447,3.82066869559358,1.34042545850132,1.26923626746287,1.41161464953977,0.0018666038555742,1.45125108224709,0.372425999764116,0.0366245444397789,0.708227455088453,5.40805109315594,1.68788878639499,0.43776548882397,2.93801208396601,0.0143145586249371,1.16107235353574,0.149344020787497,-0.0232626521091655,0.32195069368416,0.890665012424322,-0.115786890303456,-0.34875815490383,0.117184374296918,0.0210395837042935,1.38923127031884,0.328750551221862,0.158589341401913,0.498911761041812,0.739713884321983,-0.301491810357655,-0.516542127657007,-0.086441493058303,0.0177979093829906,1.92843844046668,0.656710577216386,0.385537624528386,0.927883529904387,1.43744272778621,0.362865651355642,0.0911779064840072,0.634553396227278,0.075657657765762,1.22542345418889,0.20328646115309,0.136657866215101,0.26991505609108,1.12338136524356,0.116343213159101,0.016122415846221,0.216564010471981
"2","1",0.544735929770553,1.02553999350493,0.0252192967995245,-0.0315035084425286,0.0819421020415777,0.645428862929963,-0.437840279369555,-0.517718640711369,-0.357961918027742,0.168374793390081,1.12732896849567,0.119851089975532,0.0712697863330514,0.168432393618014,0.958336798588871,-0.0425559985065116,-0.109963531871784,0.0248515348587611,0.194661230279013,1.2696314336484,0.238726648625843,0.19107473730921,0.286378559942476,1.07173197635112,0.069276009327358,-0.000742885070652575,0.139294903725369,0.293734222720404,1.11650450436369,0.11020282665061,0.063706986341558,0.156698666959663,3.76878961290422,1.32675389232481,1.25676589042415,1.39674189422548,0.00122438839223563,1.39103227119562,0.330046112669042,0.00187563892074424,0.658216586417339,8.92298062409484,2.18863004145929,0.507910600139413,3.86934948277917,0.0149781784197,1.14494321298684,0.135355040131618,-0.0355609611464191,0.306271041409655,0.880291214906023,-0.127502500224255,-0.357246420006969,0.10224141955846,0.0210851605473052,1.3661687064605,0.312010257520045,0.143381245645049,0.480639269395041,0.763536482233628,-0.269794372578797,-0.487737673321681,-0.0518510718359132,0.0157678292340168,1.79441412261041,0.584678574573191,0.30848786411505,0.860869285031332,1.71444356013754,0.539088573240782,0.248025639729346,0.830151506752219,0.076600765817883,1.23602791153775,0.211902940930806,0.145260371236577,0.278545510625035,1.1006504021938,0.0959012797919412,-0.00282598424945536,0.194628543833338
"2","2",0.534537564923272,1.02437794143061,0.0240855419511162,-0.0322091248207847,0.080380208723017,0.661130042730475,-0.413804722125782,-0.494092576922005,-0.333516867329558,0.16609567185803,1.12276688548401,0.115796072270536,0.0669808891014278,0.164611255439643,0.948282798585728,-0.0531025104684798,-0.121186325874545,0.0149813049375855,0.195346831748507,1.26622541829246,0.236040363395252,0.188445807648483,0.283634919142021,1.07315900658184,0.0706066414691606,0.000312478261795076,0.140900804676526,0.285791612082135,1.15560974784108,0.144628124881634,0.0980282973233327,0.191227952439934,3.77239784703441,1.32771083297235,1.25716973400731,1.39825193193738,0.00129279092660951,1.45862144433928,0.377491773461351,0.0423475678732285,0.712635979049473,7.91522493148202,2.06878811130973,0.558664109044204,3.57891211357525,0.0153141470311939,1.17315715631946,0.159698538804031,-0.010580090177817,0.329977167785879,0.838618757576469,-0.175999076767905,-0.402489357828425,0.0504912042926136,0.0207824459099398,1.43549309980209,0.361508413741995,0.190199464034546,0.532817363449443,0.735395027356989,-0.307347471958619,-0.525178352592706,-0.089516591324532,0.0170504229013709,1.71774954983107,0.541015032860067,0.273949148332146,0.808080917387987,1.68248233662831,0.520270284192375,0.236935277182548,0.803605291202202,0.0730597807087584,1.2397220088489,0.214887168071241,0.147835650798244,0.281938685344239,1.15161384377782,0.141164301025956,0.0408358704156972,0.241492731636215
"2","3",0.535128313569043,1.01111097562261,0.0110497021869558,-0.0452233026637032,0.0673227070376147,0.672743125873189,-0.396391707378735,-0.476492208492985,-0.316291206264484,0.163207768126891,1.13786106159226,0.129150238261323,0.0804758855487334,0.177824590973912,0.97517307913995,-0.0251403066719648,-0.0929584354160096,0.04267782207208,0.188906667198468,1.26668847431037,0.236405994476844,0.188874960534874,0.283937028418814,1.109705944971,0.104095065787677,0.033567980216521,0.174622151358834,0.283919299419862,1.13890001019593,0.130062893250605,0.0835119227031373,0.176613863798073,3.81694312917698,1.33944987430103,1.26865927046736,1.4102404781347,0.00194819634444342,1.35393464969226,0.303014908696255,-0.0202817499559005,0.626311567348411,5.8388125277324,1.76452744187252,0.529526781241632,2.9995281025034,0.0142490329751754,1.27728639941985,0.244737827096217,0.0708479532638781,0.418627700928555,0.838657918839668,-0.175952380520641,-0.403190457139461,0.0512856960981781,0.0209384197613545,1.4524347737823,0.373241302561638,0.199361566651219,0.547121038472057,0.691218310102415,-0.369299571532946,-0.585328534021598,-0.153270609044295,0.0182879025704023,1.70424730516205,0.533123550013828,0.270119719641796,0.79612738038586,1.59985676457879,0.469914103100131,0.194753720596767,0.745074485603495,0.0738363886530678,1.24566138561196,0.219666622285411,0.15284078888359,0.286492455687232,1.14396098480221,0.134496788182175,0.0342591893806097,0.234734386983741
"2","4",0.544881012264861,0.982658353364656,-0.0174937743177931,-0.0743490426366965,0.0393614940011102,0.661489898611662,-0.413260565972047,-0.493210882707232,-0.333310249236862,0.174109167547793,1.07774633044981,0.0748721298142683,0.0266351681814226,0.123109091447114,0.951552782410503,-0.0496601209410858,-0.116658841314277,0.0173385994321049,0.191625874478783,1.23682318798694,0.212546147047636,0.165150634097285,0.259941659997988,1.10653855546666,0.101236724426687,0.0309458534022358,0.171527595451138,0.280716274297838,1.17346134535324,0.159957796144124,0.113695411317239,0.206220180971009,3.78945617049647,1.33222251816439,1.26169779381651,1.40274724251228,0.00120992227293234,1.44653672312792,0.369172232687266,0.0352293903965353,0.703115074977996,8.65363340949726,2.15797928008932,0.560795237660651,3.755163322518,0.0149128361356817,1.27645569280968,0.24408724719467,0.068905477067127,0.419269017322213,0.792652920551339,-0.232369832158795,-0.456672748956296,-0.00806691536129365,0.0212839345259009,1.52260752063979,0.420424339218239,0.251570637094555,0.589278041341923,0.70939245711386,-0.343346369467878,-0.552800379838157,-0.1338923590976,0.0171383996985554,1.90661921409589,0.645331628701946,0.376901697033586,0.913761560370307,1.54162017329926,0.432833923981583,0.158455319157007,0.70721252880616,0.0748484735222809,1.22640151302023,0.204084282283306,0.137448662442225,0.270719902124387,1.12874785996072,0.121108929809915,0.0215178028942339,0.220700056725596
"2","5",0.552430462557664,1.01381834682993,0.0137237439824488,-0.0425053925147758,0.0699528804796733,0.64506856447354,-0.438398666326605,-0.519603201428284,-0.357194131224927,0.161141567785603,1.1392806467657,0.130397051625753,0.081587656765259,0.179206446486247,1.00260971123138,0.00260631184801581,-0.0653959279471665,0.0706085516431983,0.192814863909595,1.23430618040181,0.210509014967238,0.162969575826426,0.25804845410805,1.10157868363493,0.0967443178773732,0.0267600361368862,0.16672859961786,0.29805103953663,1.12893037181685,0.121270610827124,0.0749487383021911,0.167592483352056,3.69430297881906,1.30679189758504,1.23650108139917,1.3770827137709,0.00178941013815302,1.35194385587521,0.301543450038997,-0.0293346506126534,0.632421550690648,5.9783993715989,1.78815286852202,0.477296288811601,3.09900944823243,0.0153366648651307,1.26715419585475,0.23677359547679,0.0607417907572575,0.412805400196322,0.762069478885561,-0.271717547812257,-0.492632190632597,-0.0508029049919169,0.0200771111347392,1.3568494324694,0.30516541852081,0.138589881908738,0.471740955132881,0.836178598754024,-0.178913053840881,-0.398469097045966,0.0406429893642041,0.0156263915687182,1.97002963878624,0.678048587705881,0.399531500694424,0.956565674717338,1.60236508785617,0.471480717723343,0.184492551571951,0.758468883874734,0.0748688840098004,1.21360926036916,0.193598779518427,0.127105504480124,0.260092054556729,1.13286550322764,0.12475026646251,0.0253820681926312,0.224118464732388
