"","State 1","State 2","State 3","State 4","State 5","State 6"
"40",11.41,25.49,20.14,3.49,23.52,15.95
"45",10.29,27.15,18.99,4.05,21.87,17.65
"50",6.77,26.68,18.94,4.01,24.46,19.15
"55",4.82,22.77,17.93,3.92,25.84,24.72
"60",3.67,18.55,15.79,3.99,25.81,32.2
"65",2.21,14.86,13.17,3.84,25.87,40.05
"70",1.57,11.26,9.52,3.21,23.66,50.79
"75",1,8.35,7.71,2.37,19.08,61.49
"80",0.54,6.25,5.95,1.76,15.2,70.29
"85",0.33,3.16,3.51,1.72,8.46,82.83
